run_id,sweep_key,sweep_value,feature_map,ansatz,ansatz_depth,optimizer,seed,n_samples,anomaly_ratio,label_noise,pr_auc,recall_anomaly,precision_anomaly,f1_anomaly,accuracy,tn,fp,fn,tp
feature_map_pauli_feature_map_seed_2,feature_map,pauli_feature_map,pauli_feature_map,real_amplitudes,2,adam,2,1000,0.05,0.05,0.4120670815087236,0.0,0.0,0.0,0.95,285,0,15,0
feature_map_pauli_feature_map_seed_4,feature_map,pauli_feature_map,pauli_feature_map,real_amplitudes,2,adam,4,1000,0.05,0.05,0.15819294212497564,0.0,0.0,0.0,0.95,285,0,15,0
feature_map_pauli_feature_map_seed_3,feature_map,pauli_feature_map,pauli_feature_map,real_amplitudes,2,adam,3,1000,0.05,0.05,0.2668507827419287,0.0,0.0,0.0,0.95,285,0,15,0
feature_map_pauli_feature_map_seed_1,feature_map,pauli_feature_map,pauli_feature_map,real_amplitudes,2,adam,1,1000,0.05,0.05,0.2557396912118926,0.0,0.0,0.0,0.95,285,0,15,0
feature_map_pauli_feature_map_seed_0,feature_map,pauli_feature_map,pauli_feature_map,real_amplitudes,2,adam,0,1000,0.05,0.05,0.11373932606759524,0.0,0.0,0.0,0.95,285,0,15,0
feature_map_z_feature_map_seed_2,feature_map,z_feature_map,z_feature_map,real_amplitudes,2,adam,2,1000,0.05,0.05,0.844995007193027,0.6666666666666666,1.0,0.8,0.9833333333333333,285,0,5,10
feature_map_z_feature_map_seed_4,feature_map,z_feature_map,z_feature_map,real_amplitudes,2,adam,4,1000,0.05,0.05,0.7005492917459979,0.3333333333333333,1.0,0.5,0.9666666666666667,285,0,10,5
feature_map_z_feature_map_seed_3,feature_map,z_feature_map,z_feature_map,real_amplitudes,2,adam,3,1000,0.05,0.05,0.7076380662291569,0.06666666666666667,1.0,0.125,0.9533333333333334,285,0,14,1
feature_map_z_feature_map_seed_1,feature_map,z_feature_map,z_feature_map,real_amplitudes,2,adam,1,1000,0.05,0.05,0.8788320028964087,0.6,0.9,0.72,0.9766666666666667,284,1,6,9
feature_map_z_feature_map_seed_0,feature_map,z_feature_map,z_feature_map,real_amplitudes,2,adam,0,1000,0.05,0.05,0.9429733959311424,0.6,1.0,0.75,0.98,285,0,6,9
feature_map_zz_feature_map_seed_2,feature_map,zz_feature_map,zz_feature_map,real_amplitudes,2,adam,2,1000,0.05,0.05,0.0667315732606209,0.2,0.1111111111111111,0.14285714285714285,0.88,261,24,12,3
feature_map_zz_feature_map_seed_4,feature_map,zz_feature_map,zz_feature_map,real_amplitudes,2,adam,4,1000,0.05,0.05,0.08111986613819569,0.06666666666666667,0.034482758620689655,0.045454545454545456,0.86,257,28,14,1
feature_map_zz_feature_map_seed_3,feature_map,zz_feature_map,zz_feature_map,real_amplitudes,2,adam,3,1000,0.05,0.05,0.08139295766536349,0.06666666666666667,0.034482758620689655,0.045454545454545456,0.86,257,28,14,1
feature_map_zz_feature_map_seed_1,feature_map,zz_feature_map,zz_feature_map,real_amplitudes,2,adam,1,1000,0.05,0.05,0.15314094869705241,0.4,0.14285714285714285,0.21052631578947367,0.85,249,36,9,6
feature_map_zz_feature_map_seed_0,feature_map,zz_feature_map,zz_feature_map,real_amplitudes,2,adam,0,1000,0.05,0.05,0.07680220713157992,0.13333333333333333,0.08333333333333333,0.10256410256410256,0.8833333333333333,263,22,13,2
ansatz_real_amplitudes_seed_2,ansatz,real_amplitudes,z_feature_map,real_amplitudes,2,adam,2,1000,0.05,0.05,0.8422979422979423,0.6666666666666666,1.0,0.8,0.9833333333333333,285,0,5,10
ansatz_real_amplitudes_seed_4,ansatz,real_amplitudes,z_feature_map,real_amplitudes,2,adam,4,1000,0.05,0.05,0.7032062939675001,0.4,1.0,0.5714285714285714,0.97,285,0,9,6
ansatz_real_amplitudes_seed_3,ansatz,real_amplitudes,z_feature_map,real_amplitudes,2,adam,3,1000,0.05,0.05,0.717094466844698,0.06666666666666667,1.0,0.125,0.9533333333333334,285,0,14,1
ansatz_real_amplitudes_seed_1,ansatz,real_amplitudes,z_feature_map,real_amplitudes,2,adam,1,1000,0.05,0.05,0.8749760311163819,0.6,0.9,0.72,0.9766666666666667,284,1,6,9
ansatz_real_amplitudes_seed_0,ansatz,real_amplitudes,z_feature_map,real_amplitudes,2,adam,0,1000,0.05,0.05,0.9433816425120772,0.6666666666666666,1.0,0.8,0.9833333333333333,285,0,5,10
ansatz_two_local_seed_2,ansatz,two_local,z_feature_map,two_local,2,adam,2,1000,0.05,0.05,0.917142857142857,0.5333333333333333,1.0,0.6956521739130435,0.9766666666666667,285,0,7,8
ansatz_two_local_seed_4,ansatz,two_local,z_feature_map,two_local,2,adam,4,1000,0.05,0.05,0.9109826758439019,0.6,1.0,0.75,0.98,285,0,6,9
ansatz_two_local_seed_3,ansatz,two_local,z_feature_map,two_local,2,adam,3,1000,0.05,0.05,0.6184965535971908,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.9733333333333334,284,1,7,8
ansatz_two_local_seed_1,ansatz,two_local,z_feature_map,two_local,2,adam,1,1000,0.05,0.05,0.7419638031655198,0.5333333333333333,1.0,0.6956521739130435,0.9766666666666667,285,0,7,8
ansatz_two_local_seed_0,ansatz,two_local,z_feature_map,two_local,2,adam,0,1000,0.05,0.05,0.9021639592291766,0.6666666666666666,1.0,0.8,0.9833333333333333,285,0,5,10
optimizer_cobyla_seed_2,optimizer,cobyla,z_feature_map,real_amplitudes,2,cobyla,2,1000,0.05,0.05,0.848475957686956,0.5333333333333333,1.0,0.6956521739130435,0.9766666666666667,285,0,7,8
optimizer_cobyla_seed_4,optimizer,cobyla,z_feature_map,real_amplitudes,2,cobyla,4,1000,0.05,0.05,0.8350634920634921,0.8,1.0,0.8888888888888888,0.99,285,0,3,12
optimizer_cobyla_seed_3,optimizer,cobyla,z_feature_map,real_amplitudes,2,cobyla,3,1000,0.05,0.05,0.8719590686982837,0.5333333333333333,1.0,0.6956521739130435,0.9766666666666667,285,0,7,8
optimizer_cobyla_seed_1,optimizer,cobyla,z_feature_map,real_amplitudes,2,cobyla,1,1000,0.05,0.05,0.7464048320652094,0.3333333333333333,1.0,0.5,0.9666666666666667,285,0,10,5
optimizer_cobyla_seed_0,optimizer,cobyla,z_feature_map,real_amplitudes,2,cobyla,0,1000,0.05,0.05,0.881820448070448,0.26666666666666666,1.0,0.42105263157894735,0.9633333333333334,285,0,11,4
optimizer_spsa_seed_2,optimizer,spsa,z_feature_map,real_amplitudes,2,spsa,2,1000,0.05,0.05,0.9033452807646356,0.6,1.0,0.75,0.98,285,0,6,9
optimizer_spsa_seed_4,optimizer,spsa,z_feature_map,real_amplitudes,2,spsa,4,1000,0.05,0.05,0.8126072735515459,0.4666666666666667,1.0,0.6363636363636364,0.9733333333333334,285,0,8,7
optimizer_spsa_seed_3,optimizer,spsa,z_feature_map,real_amplitudes,2,spsa,3,1000,0.05,0.05,0.5539143947839599,0.26666666666666666,0.6666666666666666,0.38095238095238093,0.9566666666666667,283,2,11,4
optimizer_spsa_seed_1,optimizer,spsa,z_feature_map,real_amplitudes,2,spsa,1,1000,0.05,0.05,0.7068628312106573,0.4,1.0,0.5714285714285714,0.97,285,0,9,6
optimizer_spsa_seed_0,optimizer,spsa,z_feature_map,real_amplitudes,2,spsa,0,1000,0.05,0.05,0.8878373015873015,0.6666666666666666,1.0,0.8,0.9833333333333333,285,0,5,10
optimizer_adam_seed_2,optimizer,adam,z_feature_map,real_amplitudes,2,adam,2,1000,0.05,0.05,0.8394432126139443,0.6666666666666666,1.0,0.8,0.9833333333333333,285,0,5,10
optimizer_adam_seed_4,optimizer,adam,z_feature_map,real_amplitudes,2,adam,4,1000,0.05,0.05,0.682919144011343,0.3333333333333333,1.0,0.5,0.9666666666666667,285,0,10,5
optimizer_adam_seed_3,optimizer,adam,z_feature_map,real_amplitudes,2,adam,3,1000,0.05,0.05,0.7180682655076803,0.06666666666666667,1.0,0.125,0.9533333333333334,285,0,14,1
optimizer_adam_seed_1,optimizer,adam,z_feature_map,real_amplitudes,2,adam,1,1000,0.05,0.05,0.868247844109913,0.6,0.9,0.72,0.9766666666666667,284,1,6,9
optimizer_adam_seed_0,optimizer,adam,z_feature_map,real_amplitudes,2,adam,0,1000,0.05,0.05,0.94359477124183,0.6,1.0,0.75,0.98,285,0,6,9
ansatz_depth_1_seed_2,ansatz_depth,1,z_feature_map,real_amplitudes,1,adam,2,1000,0.05,0.05,0.6838047859719686,0.4666666666666667,0.875,0.6086956521739131,0.97,284,1,8,7
ansatz_depth_1_seed_4,ansatz_depth,1,z_feature_map,real_amplitudes,1,adam,4,1000,0.05,0.05,0.8362674362674362,0.8,0.8571428571428571,0.8275862068965517,0.9833333333333333,283,2,3,12
ansatz_depth_1_seed_3,ansatz_depth,1,z_feature_map,real_amplitudes,1,adam,3,1000,0.05,0.05,0.719765341642457,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.9733333333333334,284,1,7,8
ansatz_depth_1_seed_1,ansatz_depth,1,z_feature_map,real_amplitudes,1,adam,1,1000,0.05,0.05,0.7032027449988432,0.4,0.8571428571428571,0.5454545454545454,0.9666666666666667,284,1,9,6
